Site,File,Skew,Is1D
"Tshane, Botswana, Africa",SAMTEX.rtz410.2005.edi,0.19600631549314004,True
"Namibia, Africa",SAMTEX.dmb003.2006.edi,0.19721561815556254,True
"Weiveld, South Africa",SAMTEX.wita39.2005.edi,0.19977296701509256,True
South Africa,SAMTEX.kap033.2003.edi,0.1999367104922804,True
"Windhoek, Namibia, Africa",SAMTEX.win017.2006.edi,0.20036505597027376,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g002.2006.edi,0.20235289435181827,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM07B_RH_ZAM09B.2011-2012.edi,0.20274296926607147,True
"Namibia, Africa",SAMTEX.dmb024.2006.edi,0.20395118272303564,True
South Africa,SAMTEX.kap059.2003.edi,0.204393209090146,True
"Windhoek, Namibia, Africa",SAMTEX.win007.2006.edi,0.20444079119404876,True
"Zimbabwe, Africa",SAMTEX.zim124.2005.edi,0.20475571966152037,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal006.2008.edi,0.2048699640541918,True
"Northern Namibia, Africa",SAMTEX.RAK018A.2008.edi,0.20560435556232112,True
"Smithfield, South Africa",SAMTEX.KXT009A_auto.tru.2008.edi,0.20620851856522343,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal003.2008.edi,0.20720579667483244,True
"Southern Botswana, Africa",SAMTEX.rtz201.2005.edi,0.20749865975298792,True
"Botswana, Africa",SAMTEX.mof103.2005.edi,0.20785548515864422,True
"Kimberley, South Africa",SAMTEX.kim213.2003-2006.edi,0.20886228358903702,True
"Kimberley, South Africa",SAMTEX.kim214.2003-2006.edi,0.21006123173639402,True
"Kweneng, Botswana, Africa",SAMTEX.mol103.2005.edi,0.21067017812992023,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM05B_RH_ZAM04B.2011-2012.edi,0.21097268562180896,True
"Zimbabwe, Africa",SAMTEX.zim105.2005.edi,0.2111670870468118,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM10B_RH_ZAM18B.2011-2012.edi,0.21399638988109926,True
"Windhoek, Namibia, Africa",SAMTEX.win015.2006.edi,0.2149801920857846,True
"NE Namibia, Africa",SAMTEX.CPV009.2006.edi,0.21515888217258,True
"Botswana, Africa",SAMTEX.bot418.2005.edi,0.21649882190645942,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak007.2006.edi,0.21653047426364538,True
"Zimbabwe, Africa",SAMTEX.zim112.2005.edi,0.21666127013369205,True
"NE Namibia, Africa",SAMTEX.NEN022.2006.edi,0.2169885180346896,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM007A_RH_ZAM01.2011-2012.edi,0.21732268958155837,True
"Kimberley, South Africa",SAMTEX.kim014.2003-2006.edi,0.21744769791384683,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM04B_RH_ZAM05B.2011-2012.edi,0.2177857969328308,True
South Africa,SAMTEX.kap021.2003.edi,0.21890719103378206,True
"Windhoek, Namibia, Africa",SAMTEX.win022.2006.edi,0.22007772379678647,True
"Tshane, Botswana, Africa",SAMTEX.rtz422.2005.edi,0.22059221263611076,True
South Africa,SAMTEX.kap007.2003.edi,0.22066313579912805,True
